timestamp_s,true_x,true_y,lon,lat,reference_origin_lat,reference_origin_lon,dataset_id,path_complexity,density
0.0,-453.07401399601736,-2141.5087041361962,-0.1346392000000011,51.48876249999999,51.508,-0.1281,S-D,simple,dense
1.0,-453.2830393848466,-2140.1744414150485,-0.13464221685548255,51.48877448588595,51.508,-0.1281,S-D,simple,dense
2.0,-453.47742609453286,-2138.8379782336206,-0.1346450224314651,51.488786491538974,51.508,-0.1281,S-D,simple,dense
3.0,-453.6675277052325,-2137.5008709220506,-0.13464776616077706,51.48879850297832,51.508,-0.1281,S-D,simple,dense
4.0,-453.8576294074415,-2136.163763616145,-0.13465050989140978,51.488810514417615,51.508,-0.1281,S-D,simple,dense
5.0,-454.04831787563074,-2134.826740502335,-0.13465326209081355,51.488822525100595,51.508,-0.1281,S-D,simple,dense
6.0,-454.23960892364926,-2133.48980385013,-0.13465602298722906,51.48883453500688,51.508,-0.1281,S-D,simple,dense
7.0,-454.43090006353,-2132.1528672035897,-0.1346587838849704,51.488846544913116,51.508,-0.1281,S-D,simple,dense
8.0,-454.6221912956914,-2130.815930564839,-0.13466154478404363,51.48885855481928,51.508,-0.1281,S-D,simple,dense
9.0,-454.8302633683668,-2129.4821560602645,-0.13466454788034934,51.48887053631951,51.508,-0.1281,S-D,simple,dense
10.0,-454.20906719402933,-2128.7097354311586,-0.13465558217960785,51.48887747509208,51.508,-0.1281,S-D,simple,dense
11.0,-452.91665349490233,-2128.330616509799,-0.13463692882187764,51.4888808807753,51.508,-0.1281,S-D,simple,dense
12.0,-451.6242396107493,-2127.951497925502,-0.13461827546147695,51.48888428645549,51.508,-0.1281,S-D,simple,dense
13.0,-450.3318255412122,-2127.5723796747275,-0.13459962209840062,51.48888769213268,51.508,-0.1281,S-D,simple,dense
14.0,-449.03941128640116,-2127.1932617603075,-0.13458096873265024,51.48889109780685,51.508,-0.1281,S-D,simple,dense
15.0,-447.7469968463455,-2126.8141441808266,-0.13456231536422622,51.48889450347801,51.508,-0.1281,S-D,simple,dense
16.0,-446.45458222098495,-2126.4350269377,-0.13454366199312773,51.48889790914615,51.508,-0.1281,S-D,simple,dense
17.0,-445.1621674103246,-2126.0559100302207,-0.1345250086193548,51.48890131481127,51.508,-0.1281,S-D,simple,dense
18.0,-443.8697524142803,-2125.6767934569716,-0.13450635524290622,51.48890472047339,51.508,-0.1281,S-D,simple,dense
19.0,-442.57733723318404,-2125.2976772207853,-0.13448770186378678,51.488908126132486,51.508,-0.1281,S-D,simple,dense
20.0,-441.28492186647986,-2124.918561319538,-0.13446904848198848,51.488911531788574,51.508,-0.1281,S-D,simple,dense
21.0,-439.9925063148066,-2124.5394457539373,-0.13445039509752055,51.48891493744164,51.508,-0.1281,S-D,simple,dense
22.0,-438.7000905774737,-2124.1603305239832,-0.13443174171037298,51.4889183430917,51.508,-0.1281,S-D,simple,dense
23.0,-437.407674655225,-2123.781215630384,-0.13441308832055654,51.48892174873873,51.508,-0.1281,S-D,simple,dense
24.0,-436.1152585475096,-2123.4021010703073,-0.13439443492806324,51.48892515438277,51.508,-0.1281,S-D,simple,dense
25.0,-434.82284225454777,-2123.0229868480014,-0.1343757815328963,51.48892856002377,51.508,-0.1281,S-D,simple,dense
26.0,-433.530425776257,-2122.6438729606343,-0.13435712813505454,51.48893196566177,51.508,-0.1281,S-D,simple,dense
27.0,-432.2380091128024,-2122.264759407498,-0.1343384747345403,51.48893537129676,51.508,-0.1281,S-D,simple,dense
28.0,-430.9455922639087,-2121.8856461900077,-0.13431982133134962,51.48893877692874,51.508,-0.1281,S-D,simple,dense
29.0,-429.65317522977034,-2121.506533308873,-0.1343011679254853,51.48894218255769,51.508,-0.1281,S-D,simple,dense
30.0,-428.36075801038385,-2121.1274207640927,-0.1342825145169473,51.488945588183626,51.508,-0.1281,S-D,simple,dense
31.0,-427.068340605584,-2120.7483085514186,-0.13426386110573327,51.48894899380658,51.508,-0.1281,S-D,simple,dense
32.0,-425.77792936295236,-2120.3632129862044,-0.13424523664938143,51.4889524531789,51.508,-0.1281,S-D,simple,dense
33.0,-424.5197740799111,-2119.8819175224417,-0.1342270777420667,51.48895677672961,51.508,-0.1281,S-D,simple,dense
34.0,-423.26148960924985,-2119.4009621906075,-0.134208916970192,51.488961097224866,51.508,-0.1281,S-D,simple,dense
35.0,-422.00271455676113,-2118.9212992990642,-0.1341907491177684,51.488965406109934,51.508,-0.1281,S-D,simple,dense
