timestamp_s,true_x,true_y,lon,lat,reference_origin_lat,reference_origin_lon,dataset_id,path_complexity,density
0.0,2921.5763316868333,-2321.15609837691,-0.08593300000000072,51.487148700000006,51.508,-0.1281,C-D,complex,dense
1.0,2920.577621456261,-2321.904669450181,-0.08594741434674763,51.487141975471644,51.508,-0.1281,C-D,complex,dense
2.0,2919.5789115176776,-2322.6532407288055,-0.0859618286892803,51.487135250941435,51.508,-0.1281,C-D,complex,dense
3.0,2918.5802018707495,-2323.4018122141993,-0.08597624302760351,51.48712852640937,51.508,-0.1281,C-D,complex,dense
4.0,2917.5814925160284,-2324.150383903531,-0.0859906573617093,51.487121801875475,51.508,-0.1281,C-D,complex,dense
5.0,2916.5827834531838,-2324.89895580034,-0.08600507169160247,51.48711507733971,51.508,-0.1281,C-D,complex,dense
6.0,2915.5840746819963,-2325.647527901794,-0.08601948601728614,51.48710835280211,51.508,-0.1281,C-D,complex,dense
7.0,2914.585366202961,-2326.396100207894,-0.0860339003387532,51.48710162826267,51.508,-0.1281,C-D,complex,dense
8.0,2913.5866580158013,-2327.144672721472,-0.08604831465600762,51.48709490372137,51.508,-0.1281,C-D,complex,dense
9.0,2912.587950120519,-2327.893245438987,-0.0860627289690494,51.48708817917824,51.508,-0.1281,C-D,complex,dense
10.0,2911.589242517196,-2328.6418183625633,-0.08607714327787734,51.48708145463325,51.508,-0.1281,C-D,complex,dense
11.0,2910.590535205749,-2329.3903914922016,-0.08609155758249264,51.48707473008641,51.508,-0.1281,C-D,complex,dense
12.0,2909.591828186178,-2330.138964826485,-0.0861059718828953,51.48706800553774,51.508,-0.1281,C-D,complex,dense
13.0,2908.7282513915,-2329.8997400331373,-0.08611843585390513,51.48707015453062,51.508,-0.1281,C-D,complex,dense
14.0,2907.9674824566246,-2328.9089898054553,-0.08612941600298732,51.48707905459135,51.508,-0.1281,C-D,complex,dense
15.0,2907.2067132270363,-2327.9182396896554,-0.08614039615632307,51.48708795465106,51.508,-0.1281,C-D,complex,dense
16.0,2906.4459437030914,-2326.9274896807806,-0.08615137631390728,51.48709685470982,51.508,-0.1281,C-D,complex,dense
17.0,2905.685173884434,-2325.93673978308,-0.08616235647574505,51.487105754767576,51.508,-0.1281,C-D,complex,dense
18.0,2904.924403771447,-2324.9459899887647,-0.08617333664183087,51.48711465482441,51.508,-0.1281,C-D,complex,dense
19.0,2904.1636333636634,-2323.9552403063312,-0.08618431681217148,51.487123554880235,51.508,-0.1281,C-D,complex,dense
20.0,2903.402862661552,-2322.9644907308234,-0.08619529698676011,51.4871324549351,51.508,-0.1281,C-D,complex,dense
21.0,2902.6420916647,-2321.9737412643653,-0.08620627716560272,51.48714135498898,51.508,-0.1281,C-D,complex,dense
22.0,2901.8813203735185,-2320.982991906249,-0.08621725734869337,51.48715025504189,51.508,-0.1281,C-D,complex,dense
23.0,2901.1205487876505,-2319.992242655766,-0.08622823753603724,51.487159155093835,51.508,-0.1281,C-D,complex,dense
24.0,2900.3597769071803,-2319.001493515041,-0.08623921772763307,51.48716805514479,51.508,-0.1281,C-D,complex,dense
25.0,2899.599004732242,-2318.0107444812415,-0.08625019792347895,51.48717695519479,51.508,-0.1281,C-D,complex,dense
26.0,2898.838232262757,-2317.0199955564917,-0.08626117812357602,51.48718585524381,51.508,-0.1281,C-D,complex,dense
27.0,2898.0774594987506,-2316.0292467400836,-0.0862721583279239,51.48719475529186,51.508,-0.1281,C-D,complex,dense
28.0,2897.31668644014,-2315.0384980327253,-0.08628313853652379,51.487203655338924,51.508,-0.1281,C-D,complex,dense
29.0,2896.555913087091,-2314.047749430168,-0.0862941187493733,51.48721255538504,51.508,-0.1281,C-D,complex,dense
30.0,2895.7951394394936,-2313.057000939493,-0.08630509896647402,51.487221455430166,51.508,-0.1281,C-D,complex,dense
31.0,2895.0343654973194,-2312.0662525564517,-0.08631607918782636,51.48723035547432,51.508,-0.1281,C-D,complex,dense
32.0,2894.273591260322,-2311.075504283168,-0.08632705941343385,51.48723925551748,51.508,-0.1281,C-D,complex,dense
33.0,2893.5128167291614,-2310.084756117518,-0.08633803964328701,51.48724815555968,51.508,-0.1281,C-D,complex,dense
34.0,2892.752041903315,-2309.0940080580854,-0.08634901987739337,51.48725705560093,51.508,-0.1281,C-D,complex,dense
35.0,2891.9912667828085,-2308.1032601091183,-0.08636000011575251,51.48726595564118,51.508,-0.1281,C-D,complex,dense
36.0,2891.230491367754,-2307.1125122663693,-0.08637098035836287,51.487274855680475,51.508,-0.1281,C-D,complex,dense
37.0,2890.4697156583443,-2306.121764535502,-0.08638196060522166,51.48728375571877,51.508,-0.1281,C-D,complex,dense
38.0,2889.708939654413,-2305.131016910144,-0.08639294085633124,51.487292655756114,51.508,-0.1281,C-D,complex,dense
39.0,2888.9481633557393,-2304.1402693945442,-0.08640392111169484,51.48730155579248,51.508,-0.1281,C-D,complex,dense
40.0,2888.187386762491,-2303.149521987286,-0.08641490137131003,51.48731045582786,51.508,-0.1281,C-D,complex,dense
41.0,2887.4266098749413,-2302.1587746862447,-0.08642588163517285,51.4873193558623,51.508,-0.1281,C-D,complex,dense
42.0,2886.665832692623,-2301.1680274949613,-0.08643686190329007,51.48732825589574,51.508,-0.1281,C-D,complex,dense
43.0,2885.905055215701,-2300.177280412728,-0.08644784217565929,51.48733715592821,51.508,-0.1281,C-D,complex,dense
44.0,2885.14427744445,-2299.186533438128,-0.08645882245227653,51.487346055959705,51.508,-0.1281,C-D,complex,dense
45.0,2884.383499378568,-2298.195786572578,-0.08646980273314618,51.48735495599023,51.508,-0.1281,C-D,complex,dense
46.0,2883.622721018248,-2297.2050398146616,-0.08648078301826545,51.48736385601978,51.508,-0.1281,C-D,complex,dense
