timestamp_s,true_x,true_y,lon,lat,reference_origin_lat,reference_origin_lon,dataset_id
0.0,1419.7293726127214,-1238.8746130395295,-0.10760910000000072,51.49687099999999,51.508,-0.1281,run_01
1.0,1418.5377990909678,-1238.5593942295382,-0.1076262979352889,51.49687383165874,51.508,-0.1281,run_01
2.0,1417.6819945884067,-1237.6829710421214,-0.10763864972910242,51.49688170470218,51.508,-0.1281,run_01
3.0,1417.1836975286587,-1236.6891547297512,-0.10764584163160058,51.49689063230601,51.508,-0.1281,run_01
4.0,1415.9376594280811,-1236.73858585217,-0.10766382565208198,51.49689018825869,51.508,-0.1281,run_01
5.0,1414.691621344115,-1236.788017283327,-0.10768180967232364,51.49688974420859,51.508,-0.1281,run_01
6.0,1413.4455832767578,-1236.8374490203898,-0.10769979369232557,51.496889300155736,51.508,-0.1281,run_01
7.0,1412.19916216225,-1236.8759620781173,-0.10771778324083246,51.49688895418705,51.508,-0.1281,run_01
8.0,1410.952740924529,-1236.914471612262,-0.10773577279111768,51.496888608250025,51.508,-0.1281,run_01
9.0,1409.7063196981296,-1236.952981453729,-0.1077537623412395,51.49688826231023,51.508,-0.1281,run_01
10.0,1408.4598984828863,-1236.9914916039345,-0.1077717518912003,51.49688791636766,51.508,-0.1281,run_01
11.0,1407.2134772788263,-1237.030002060754,-0.10778974144099968,51.496887570422345,51.508,-0.1281,run_01
12.0,1405.9670560859495,-1237.068512829144,-0.10780773099063767,51.49688722447423,51.508,-0.1281,run_01
13.0,1404.7206349045332,-1237.107023902024,-0.10782572054011023,51.49688687852337,51.508,-0.1281,run_01
14.0,1403.4742137341887,-1237.1455352836422,-0.107843710089423,51.49688653256975,51.508,-0.1281,run_01
15.0,1402.2277925751125,-1237.1840469725823,-0.10786169963857316,51.49688618661336,51.508,-0.1281,run_01
16.0,1400.9813714272186,-1237.222558970261,-0.1078796891875619,51.496885840654194,51.508,-0.1281,run_01
17.0,1399.7349502905915,-1237.2610712759697,-0.10789767873638803,51.496885494692265,51.508,-0.1281,run_01
18.0,1398.4885291651751,-1237.2995838897089,-0.10791566828505236,51.49688514872757,51.508,-0.1281,run_01
19.0,1397.2421080509691,-1237.3380968114782,-0.10793365783355488,51.49688480276011,51.508,-0.1281,run_01
20.0,1395.9956869480866,-1237.3766100391533,-0.10795164738189399,51.4968844567899,51.508,-0.1281,run_01
21.0,1395.313136800908,-1238.0632800980836,-0.10796149860219034,51.49687828832781,51.508,-0.1281,run_01
22.0,1394.5733737583569,-1239.036055149875,-0.1079721755740281,51.496869549740836,51.508,-0.1281,run_01
23.0,1393.4059002243634,-1239.4069636261934,-0.10798902567511016,51.496866217813306,51.508,-0.1281,run_01
24.0,1393.4037768992562,-1240.6402410810229,-0.10798905632098062,51.496855139093434,51.508,-0.1281,run_01
25.0,1393.420923158078,-1241.8906977602303,-0.10798880884967964,51.49684390604996,51.508,-0.1281,run_01
26.0,1393.4380694161011,-1243.1411544422704,-0.10798856137839018,51.496832673006466,51.508,-0.1281,run_01
27.0,1393.455215673463,-1244.3916111243104,-0.10798831390711025,51.49682143996297,51.508,-0.1281,run_01
28.0,1393.4723619298334,-1245.6420678120153,-0.10798806643584465,51.49681020691942,51.508,-0.1281,run_01
29.0,1393.4895081855968,-1246.892524498304,-0.1079878189645878,51.49679897387589,51.508,-0.1281,run_01
30.0,1393.5066544406448,-1248.1429811881333,-0.10798757149334129,51.496787740832325,51.508,-0.1281,run_01
31.0,1393.523800694785,-1249.3934378793788,-0.10798732402210787,51.496776507788745,51.508,-0.1281,run_01
32.0,1393.5409469481801,-1250.6438945720406,-0.1079870765508852,51.49676527474515,51.508,-0.1281,run_01
33.0,1393.0090226521995,-1251.7058051650365,-0.10799475379400404,51.49675573543999,51.508,-0.1281,run_01
34.0,1392.2311838350156,-1252.6832708437064,-0.1080059803120479,51.4967469547164,51.508,-0.1281,run_01
35.0,1391.4533453187153,-1253.6607366555022,-0.10801720682574913,51.496738173991616,51.508,-0.1281,run_01
36.0,1390.6755071033556,-1254.6382025940504,-0.10802843333510687,51.496729393265696,51.508,-0.1281,run_01
37.0,1389.8976691887692,-1255.615668662184,-0.10803965984012358,51.49672061253861,51.508,-0.1281,run_01
38.0,1389.1198315751762,-1256.59313485707,-0.10805088634079606,51.49671183181038,51.508,-0.1281,run_01
39.0,1388.341994262607,-1257.5706011822494,-0.10806211283712386,51.496703051080985,51.508,-0.1281,run_01
40.0,1387.5641572509212,-1258.5480676341815,-0.10807333932910904,51.49669427035045,51.508,-0.1281,run_01
41.0,1386.7863205399256,-1259.5255342164069,-0.10808456581675437,51.49668548961875,51.508,-0.1281,run_01
42.0,1386.008484129981,-1260.5030009253849,-0.10809579230005462,51.4966767088859,51.508,-0.1281,run_01
43.0,1385.5365073614066,-1261.6397146222032,-0.10810260432279202,51.49666649761303,51.508,-0.1281,run_01
44.0,1384.953061845209,-1262.453950455341,-0.10811102516972135,51.49665918320809,51.508,-0.1281,run_01
45.0,1383.7297422224394,-1262.2113607334645,-0.10812868129527722,51.49666136242864,51.508,-0.1281,run_01
46.0,1382.5060316803888,-1261.9716862308617,-0.1081463430629562,51.49666351546133,51.508,-0.1281,run_01
47.0,1381.2622629146458,-1261.8816247720506,-0.10816429433021431,51.496664324497175,51.508,-0.1281,run_01
48.0,1380.0184940970344,-1261.791563618437,-0.10818224559822104,51.496665133530286,51.508,-0.1281,run_01
49.0,1378.7747252278014,-1261.7015027700213,-0.10820019686697281,51.496665942560654,51.508,-0.1281,run_01
50.0,1377.5309563070027,-1261.6114422260953,-0.10821814813646884,51.496666751588286,51.508,-0.1281,run_01
51.0,1376.2871873344452,-1261.521381986659,-0.1082360994067119,51.496667560613176,51.508,-0.1281,run_01
52.0,1375.0434183102657,-1261.4313220531285,-0.10825405067770001,51.49666836963533,51.508,-0.1281,run_01
53.0,1374.3150960367418,-1260.8019259102384,-0.10826456252535382,51.49667402359707,51.508,-0.1281,run_01
54.0,1374.1726100965866,-1259.5595413598805,-0.10826661901950507,51.49668518412738,51.508,-0.1281,run_01
55.0,1374.0301240940673,-1258.3171568130633,-0.10826867551455642,51.49669634465765,51.508,-0.1281,run_01
56.0,1373.8876380296522,-1257.0747722690785,-0.1082707320105011,51.4967075051879,51.508,-0.1281,run_01
57.0,1373.7227197605002,-1255.836474882527,-0.10827311226960297,51.49671862900259,51.508,-0.1281,run_01
58.0,1373.4203359063188,-1254.6232238143732,-0.10827747656426163,51.49672952782236,51.508,-0.1281,run_01
59.0,1373.117951914628,-1253.4099727625062,-0.10828184086090498,51.496740426642,51.508,-0.1281,run_01
60.0,1372.815567785318,-1252.196721727634,-0.10828620515953456,51.496751325461474,51.508,-0.1281,run_01
61.0,1372.5131835183333,-1250.9834707076323,-0.1082905694601512,51.49676222428082,51.508,-0.1281,run_01
62.0,1372.0443319264486,-1249.8253976633566,-0.10829733637733238,51.49677262742798,51.508,-0.1281,run_01
