timestamp_s,true_x,true_y,lon,lat,reference_origin_lat,reference_origin_lon,dataset_id
0.0,1529.0000827107876,-1333.0397703017034,-0.10603200000000013,51.49602509999999,51.508,-0.1281,dataset
1.0,1529.5157725475665,-1331.901144710151,-0.10602455706821305,51.496035328447704,51.508,-0.1281,dataset
2.0,1530.0314626205225,-1330.7625191787881,-0.10601711413301725,51.496045556894884,51.508,-0.1281,dataset
3.0,1530.5471529296865,-1329.6238937083233,-0.10600967119441226,51.49605578534151,51.508,-0.1281,dataset
4.0,1531.062843474863,-1328.4852682973403,-0.10600222825240092,51.49606601378761,51.508,-0.1281,dataset
5.0,1531.578534256136,-1327.3466429479633,-0.10599478530698202,51.49607624223315,51.508,-0.1281,dataset
6.0,1532.094225273614,-1326.2080176566517,-0.10598734235815396,51.49608647067817,51.508,-0.1281,dataset
7.0,1532.6099165272178,-1325.069392426238,-0.10597989940591791,51.496096699122646,51.508,-0.1281,dataset
8.0,1533.125608016779,-1323.9307672574305,-0.1059724564502763,51.496106927566565,51.508,-0.1281,dataset
9.0,1533.6412997426291,-1322.7921421481044,-0.10596501349122434,51.49611715600995,51.508,-0.1281,dataset
10.0,1534.1569917044644,-1321.6535170989685,-0.1059575705287664,51.4961273844528,51.508,-0.1281,dataset
11.0,1534.6726839027283,-1320.5148921086059,-0.10595012756289612,51.49613761289511,51.508,-0.1281,dataset
12.0,1535.1883763367841,-1319.3762671798495,-0.10594268459362266,51.49614784133688,51.508,-0.1281,dataset
13.0,1535.7040690070457,-1318.2376423105748,-0.10593524162094005,51.49615806977811,51.508,-0.1281,dataset
14.0,1536.219761913598,-1317.0990175021977,-0.10592779864484705,51.49616829821879,51.508,-0.1281,dataset
15.0,1536.7354550562454,-1315.9603927525945,-0.10592035566534651,51.496178526658944,51.508,-0.1281,dataset
16.0,1537.2511484347679,-1314.8217680645973,-0.1059129126824416,51.496188755098544,51.508,-0.1281,dataset
17.0,1537.7668420496357,-1313.68314343679,-0.1059054696961255,51.4961989835376,51.508,-0.1281,dataset
18.0,1538.2825359005444,-1312.544518867756,-0.10589802670640266,51.49620921197614,51.508,-0.1281,dataset
19.0,1538.798229987659,-1311.4058943603284,-0.10589058371327066,51.496219440414116,51.508,-0.1281,dataset
20.0,1539.3139243107587,-1310.2672699130903,-0.1058831407167327,51.496229668851555,51.508,-0.1281,dataset
21.0,1539.8296188702595,-1309.128645524626,-0.10587569771678276,51.49623989728847,51.508,-0.1281,dataset
22.0,1540.34531366558,-1307.9900211977676,-0.10586825471342926,51.49625012572482,51.508,-0.1281,dataset
23.0,1540.8610086971344,-1306.851396929683,-0.10586081170666618,51.496260354160654,51.508,-0.1281,dataset
24.0,1541.3767039648394,-1305.712772722496,-0.10585336869649477,51.49627058259593,51.508,-0.1281,dataset
25.0,1541.8923994685317,-1304.574148575499,-0.10584592568291736,51.49628081103067,51.508,-0.1281,dataset
26.0,1542.4080952084848,-1303.4355244879837,-0.10583848266593,51.49629103946488,51.508,-0.1281,dataset
