timestamp_s,source_type,true_x,true_y,true_lon,true_lat,gps_x,gps_y,gps_lon,gps_lat,circle_x,circle_y,circle_r,circle_lon,circle_lat,cell_tower_x,cell_tower_y,cell_tower_lon,cell_tower_lat,cell_r_min,cell_r_max,cell_theta_start,cell_theta_end,dataset_id,reference_origin_lat,reference_origin_lon
32.62015738010734,cell_sector,1393.2423743561073,-1251.4125654848033,-0.10799138583774291,51.49675836965686,,,,,,,,,,1350.0,-1350.0,-0.10861550138101922,51.495872743664385,95.6297101882538,141.70813590671588,0.6215720597026584,1.60081267793952,run_01,51.508,-0.1281
131.62138154683598,cell_sector,1391.3175918519912,-1200.097246455667,-0.10801916615036757,51.49721934301079,,,,,,,,,,1350.0,-1350.0,-0.10861550138101922,51.495872743664385,124.62374130250832,166.85312628753698,0.5262584289937002,1.8820891835443614,run_01,51.508,-0.1281
178.96785929460918,gps,1376.5849482207855,-1161.1104673912935,-0.10823180183517213,51.497569567205915,1374.2416761546535,-1151.346665863555,-0.10826562219171765,51.49765727692735,,,,,,,,,,,,,,run_01,51.508,-0.1281
179.93342102170428,gps,1375.5995857833618,-1160.343999630357,-0.10824602353372856,51.497576452502955,1368.5463703538371,-1159.383544275151,-0.10834782232357741,51.497585080420215,,,,,,,,,,,,,,run_01,51.508,-0.1281
180.9637306804991,gps,1374.6142230469259,-1159.5775320556552,-0.10826024523660062,51.49758333779833,1361.7872768983825,-1159.5869336545263,-0.1084453760621688,51.497583253342334,,,,,,,,,,,,,,run_01,51.508,-0.1281
181.9176743158648,gps,1373.6288600112039,-1158.8110646686039,-0.10827446694379227,51.49759022309201,1379.02625851606,-1160.2310446009726,-0.10819656649659674,51.49757746719525,,,,,,,,,,,,,,run_01,51.508,-0.1281
182.96998666762178,gps,1372.6434966765526,-1158.0445974642462,-0.10828868865529835,51.497597108384056,1368.8673671332524,-1156.655531079895,-0.10834318938927726,51.49760958657969,,,,,,,,,,,,,,run_01,51.508,-0.1281
183.93321993222145,gps,1371.6581330426163,-1157.278130447539,-0.108302910371124,51.49760399367442,1375.8590435495203,-1153.2961850214347,-0.10824227878966455,51.497639764098786,,,,,,,,,,,,,,run_01,51.508,-0.1281
184.92898819097988,gps,1370.672769109558,-1156.511663613526,-0.10831713209126685,51.49761087896314,1382.5076122331368,-1155.2566587795084,-0.10814632025089854,51.49762215286338,,,,,,,,,,,,,,run_01,51.508,-0.1281
185.93119747074155,gps,1369.6874048773786,-1155.7451969678714,-0.10833135381572692,51.49761776425016,1366.132944278861,-1156.5010721077913,-0.10838265521026251,51.497610974108255,,,,,,,,,,,,,,run_01,51.508,-0.1281
249.33440061151467,cell_sector,1307.2147018818382,-1107.1515901969956,-0.10923301996034959,51.49805428804689,,,,,,,,,,1350.0,-900.0,-0.10861550138101922,51.49991516244293,193.23740502225272,229.82421576444392,-2.3068044435253396,-1.21165935088693,run_01,51.508,-0.1281
272.5364031033576,circle,1297.692384631971,-1086.609092153441,-0.1093704552027974,51.49823882444655,,,,,1274.3004837833594,-1074.9942867688803,34.68419555341566,-0.10970806961744933,51.49834316201854,,,,,,,,,run_01,51.508,-0.1281
273.39304550997,circle,1297.7774657895313,-1085.612276824122,-0.10936922722968852,51.498247778991015,,,,,1281.353244039273,-1076.683760589142,26.042706006163648,-0.10960627739710388,51.498327985216996,,,,,,,,,run_01,51.508,-0.1281
274.50441581151034,circle,1297.9050875973676,-1084.1170538389954,-0.10936738526899331,51.49826121080762,,,,,1304.8074816903597,-1081.860823445158,16.117934602078762,-0.10926776327775437,51.4982814788701,,,,,,,,,run_01,51.508,-0.1281
275.4105033804591,circle,1298.0008040095554,-1082.9956366065232,-0.10936600379765916,51.49827128467002,,,,,1338.2027467389444,-1070.6720159172621,55.73932899377573,-0.10878577068833241,51.498381989638226,,,,,,,,,run_01,51.508,-0.1281
276.41481390992504,circle,1298.106919476232,-1081.7495972209204,-0.10936447223716739,51.498282478032266,,,,,1287.1919886488756,-1080.5318877409136,20.785796540702194,-0.1095220070183762,51.49829341690264,,,,,,,,,run_01,51.508,-0.1281
277.58440772047953,circle,1298.2235824574757,-1080.3789484077295,-0.10936278844479928,51.498294790780044,,,,,1300.584408155623,-1086.805950187708,17.995893370873528,-0.109328714737351,51.49823705604075,,,,,,,,,run_01,51.508,-0.1281
